index,cop_density,legitimacy,active_threshold,cv
102,0.0296875,0.8521875,0.0734375,0.2769800002997676
103,0.0296875,0.8521875,0.1296875,0.9304443273892178
104,0.0803125,0.8828125,0.1484375,0.0
105,0.0746875,0.8828125,0.1484375,0.0
106,0.0803125,0.6071875,0.1484375,1.784728326241199
107,0.0803125,0.8828125,0.0546875,3.977220662280353
108,0.0803125,0.6071875,0.0546875,0.9403110298866656
109,0.0746875,0.8828125,0.0546875,3.902825993764361
110,0.0746875,0.6071875,0.1484375,3.8252085752203615
111,0.0746875,0.6071875,0.0546875,3.5295456339153275
112,0.0578125,0.5153125,0.1109375,1.4363844920932771
113,0.0521875,0.5153125,0.1109375,1.2484299854514322
114,0.0578125,0.7296875,0.1109375,2.690732234128649
115,0.0578125,0.5153125,0.0921875,1.482151829617016
116,0.0578125,0.7296875,0.0921875,1.8445380680628969
117,0.0521875,0.5153125,0.0921875,1.1206768957575792
118,0.0521875,0.7296875,0.1109375,1.5683902149730362
119,0.0521875,0.7296875,0.0921875,1.7110130159610475
120,0.0128125,0.7603125,0.1859375,0.3229551739102357
121,0.0971875,0.7603125,0.1859375,9.0
122,0.0128125,0.9746875,0.1859375,0.0
123,0.0128125,0.7603125,0.1671875,0.2706837508124323
124,0.0128125,0.9746875,0.1671875,0.0
125,0.0971875,0.7603125,0.1671875,3.924283374069716
126,0.0971875,0.9746875,0.1859375,0.0
127,0.0971875,0.9746875,0.1671875,0.0
128,0.0184375,0.7296875,0.1203125,0.0694700531029288
129,0.0690625,0.7296875,0.1203125,3.6271004900181008
130,0.0184375,0.6378125,0.1203125,0.0384026843989142
131,0.0184375,0.7296875,0.1953125,0.4120891336950881
132,0.0184375,0.6378125,0.1953125,0.1944332283277445
133,0.0690625,0.7296875,0.1953125,3.273268353539885
134,0.0690625,0.6378125,0.1203125,2.024188767025729
135,0.0690625,0.6378125,0.1953125,3.229869233311447
136,0.0634375,0.9746875,0.1953125,0.0
137,0.0240625,0.9746875,0.1953125,0.0
138,0.0634375,0.8828125,0.1953125,0.0
139,0.0634375,0.9746875,0.1203125,0.0
140,0.0634375,0.8828125,0.1203125,0.0
141,0.0240625,0.9746875,0.1203125,0.0
142,0.0240625,0.8828125,0.1953125,0.0
143,0.0240625,0.8828125,0.1203125,0.0
144,0.0859375,0.6071875,0.0828125,1.4522174645202908
145,0.0915625,0.6071875,0.0828125,1.1612072884993037
146,0.0859375,0.7603125,0.0828125,4.020581261998402
147,0.0859375,0.6071875,0.0828125,3.6349503024166574
148,0.0859375,0.7603125,0.0828125,2.401121748062576
149,0.0915625,0.6071875,0.0828125,1.072955995323776
150,0.0915625,0.7603125,0.0828125,3.609601021020141
151,0.0915625,0.7603125,0.0828125,2.8673076722244573
152,0.0409375,0.8521875,0.1578125,0.0
153,0.0465625,0.8521875,0.1578125,0.0
154,0.0409375,0.5153125,0.1578125,0.712978924812583
155,0.0409375,0.8521875,0.1578125,0.0
156,0.0409375,0.5153125,0.1578125,1.0794446688129615
157,0.0465625,0.8521875,0.1578125,0.0
158,0.0465625,0.5153125,0.1578125,1.11955659965584
159,0.0465625,0.5153125,0.1578125,0.908609069581124
160,0.0521875,0.5459375,0.1765625,1.390078351218459
161,0.0353125,0.5459375,0.1765625,0.6040691635787527
162,0.0521875,0.5765625,0.1765625,1.4421543933736425
163,0.0521875,0.5459375,0.1765625,2.4743544278617344
164,0.0521875,0.5765625,0.1765625,2.169934737324398
165,0.0353125,0.5459375,0.1765625,0.7826915956184924
166,0.0353125,0.5765625,0.1765625,0.7615283446226383
167,0.0353125,0.5765625,0.1765625,0.3644700003740022
168,0.0971875,0.7909375000000001,0.1015625,2.303842943364913
169,0.0803125,0.7909375000000001,0.1015625,2.1134489978863145
170,0.0971875,0.8215625,0.1015625,3.2732683535398857
171,0.0971875,0.7909375000000001,0.1015625,2.683281572999748
172,0.0971875,0.8215625,0.1015625,3.5590260840104366
173,0.0803125,0.7909375000000001,0.1015625,4.021827796625047
174,0.0803125,0.8215625,0.1015625,3.613911544704607
175,0.0803125,0.8215625,0.1015625,3.776283916239533
176,0.0746875,0.6684375,0.1390625,3.5158778548753133
177,0.0128125,0.6684375,0.1390625,0.0764717074487682
178,0.0746875,0.9440625,0.1390625,0.0
179,0.0746875,0.6684375,0.0640625,3.450086450233709
180,0.0746875,0.9440625,0.0640625,0.0
181,0.0128125,0.6684375,0.0640625,0.0300267543438551
182,0.0128125,0.9440625,0.1390625,0.0
183,0.0128125,0.9440625,0.0640625,0.0
184,0.0296875,0.9134375,0.0640625,0.6712412780045063
185,0.0578125,0.9134375,0.0640625,3.123104339969525
186,0.0296875,0.6990625,0.0640625,0.0429067351235803
187,0.0296875,0.9134375,0.1390625,0.0
188,0.0296875,0.6990625,0.1390625,0.2910544930751829
189,0.0578125,0.9134375,0.1390625,0.0
190,0.0578125,0.6990625,0.0640625,1.4706420393020678
191,0.0578125,0.6990625,0.1390625,2.123833761620326
192,0.0240625,0.5765625,0.1296875,0.0574143502805954
193,0.0859375,0.5765625,0.1296875,3.715779250111683
194,0.0240625,0.9134375,0.1296875,0.0
195,0.0240625,0.5765625,0.1484375,0.0602114936034813
196,0.0240625,0.9134375,0.1484375,0.0
197,0.0859375,0.5765625,0.1484375,2.408119970154874
198,0.0859375,0.9134375,0.1296875,0.0
199,0.0859375,0.9134375,0.1484375,0.0
200,0.0690625,0.8215625,0.0546875,1.8452530118349488
201,0.0409375,0.8215625,0.0546875,0.9022265561432806
202,0.0690625,0.6684375,0.0546875,3.4301724202833785
203,0.0690625,0.8215625,0.0734375,3.696489796804933
204,0.0690625,0.6684375,0.0734375,1.924173481516141
